URL,https://railway.com/deploy
Title,Railway Marketplace | Railway
Meta Description,Railway is an infrastructure platform where you can provision infrastructure, develop with that infrastructure locally, and then deploy to the cloud.
H1,
H2s,

Content,Selector,Links,Likes,Comments,Reposts,Views,CommentsPreview

"View Template Strapi A popular self-hosted CMS Milo 7.2K Deploy",".virtuoso-grid-item","https://railway.com/deploy/strapi|https://railway.com/new/template/strapi",0,0,0,0,""
"View Template n8n (w/ postgres) Simple n8n deploy. It just works. Thalles Passos 1.8K Deploy",".virtuoso-grid-item","https://railway.com/deploy/MRazvG|https://railway.com/new/template/MRazvG",0,0,0,0,""
"View Template Flask A minimal Flask application opqr 9.8K Deploy",".virtuoso-grid-item","https://railway.com/deploy/flask|https://railway.com/new/template/zUcpux",0,0,0,0,""
"View Template flowise-railway Flowise - low-code LLM apps builder Henry Heng 8.2K Deploy",".virtuoso-grid-item","https://railway.com/deploy/pn4G8S|https://railway.com/new/template/pn4G8S",0,0,0,0,""
"View Template Typebot Build advanced chatbots visually Brody 8.5K Deploy",".virtuoso-grid-item","https://railway.com/deploy/typebot|https://railway.com/new/template/typebot",0,0,0,0,""
"View Template Django A simple Django application Cooper 9.9K Deploy",".virtuoso-grid-item","https://railway.com/deploy/django|https://railway.com/new/template/GB6Eki",0,0,0,0,""
"View Template Directus Turn any SQL database into an API. Optional S3 and WebSockets Included! Medim 3K Deploy",".virtuoso-grid-item","https://railway.com/deploy/directus|https://railway.com/new/template/2fy758",0,0,0,0,""
"View Template Twenty CRM Deploy latest version of Twenty CRM (v1.*) on Railway TMSD 551 Deploy",".virtuoso-grid-item","https://railway.com/deploy/twenty-crm|https://railway.com/new/template/nAL3hA",0,0,0,0,""
"View Template Metabase Fast analytics and integrated tooling for companies exploring their data Brody 1.8K Deploy",".virtuoso-grid-item","https://railway.com/deploy/metabase|https://railway.com/new/template/metabase",0,0,0,0,""
"View Template pgvector Open-source vector similarity search for Postgres Brody 977 Deploy",".virtuoso-grid-item","https://railway.com/deploy/pgvector|https://railway.com/new/template/3jJFCA",0,0,0,0,""
"View Template AnythingLLM An all-in-one application for RAG, AI Agents, multi-user management & more Timothy Carambat 1.6K Deploy",".virtuoso-grid-item","https://railway.com/deploy/anythingllm|https://railway.com/new/template/HNSCS1",0,0,0,0,""
"View Template Ollama A powerful and user-friendly platform for running LLMs Jack 636 Deploy",".virtuoso-grid-item","https://railway.com/deploy/ollama|https://railway.com/new/template/T9CQ5w",0,0,0,0,""
"View Template n8n with workers A complete setup for n8n with workers Steven Junio 3.1K Deploy",".virtuoso-grid-item","https://railway.com/deploy/EfkjX2|https://railway.com/new/template/EfkjX2",0,0,0,0,""
"View Template postiz-app:v2.2.0 One Click deployment of Popular Open Source Social media scheduling tool. My Workspace 317 Deploy",".virtuoso-grid-item","https://railway.com/deploy/Rd76MM|https://railway.com/new/template/Rd76MM",0,0,0,0,""
"View Template Open WebUI User-friendly ChatGPT UI alternative designed to operate offline. alphasec 736 Deploy",".virtuoso-grid-item","https://railway.com/deploy/2yb5lj|https://railway.com/new/template/2yb5lj",0,0,0,0,""
"View Template Cap The open source Loom alternative Cap 292 Deploy",".virtuoso-grid-item","https://railway.com/deploy/PwpGcf|https://railway.com/new/template/PwpGcf",0,0,0,0,""
"View Template Ghost + MySQL Self-hosted Ghost with MySQL and persistent volume. alphasec 1K Deploy",".virtuoso-grid-item","https://railway.com/deploy/tcsVLc|https://railway.com/new/template/tcsVLc",0,0,0,0,""
"View Template Umami An open source, privacy-focused alternative to Google Analytics Brody 3.2K Deploy",".virtuoso-grid-item","https://railway.com/deploy/umami|https://railway.com/new/template/umami-analytics",0,0,0,0,""
"View Template Odoo All your business on one platform. Simple, efficient, yet affordable! Brody 750 Deploy",".virtuoso-grid-item","https://railway.com/deploy/odoo|https://railway.com/new/template/m3dQ_V",0,0,0,0,""
